firstName, lastName, player_id
Rasmus, Kupari, 8480845
Ville, Heinola, 8481572
Mikael, Granlund, 8475798
Roope, Hintz, 8478449
Mikko, Rantanen, 8478420
Miro, Heiskanen, 8480036
Esa, Lindell, 8476902
Sebastian, Aho, 8478427
Jesperi, Kotkaniemi, 8480829
Joel, Kiviranta, 8481641
Artturi, Lehkonen, 8477476
Aleksander, Barkov, 8477493
Anton, Lundell, 8482113
Eetu, Luostarinen, 8480185
Niko, Mikkola, 8478859
Kasperi, Kapanen, 8477953
Jani, Hakanpää, 8475825
Erik, Haula, 8475287
Nikolas, Matinpalo, 8484321
Kevin, Lankinen, 8480947
Juuso, Parssinen, 8481704
Urho, Vaakanainen, 8480001
Joel, Armia, 8476469
Patrik, Laine, 8479339
Matias, Maccelli, 8481711
Olli, Määttä, 8476874
Henri, Jokiharju, 8480035
Joonas, Korpisalo, 8476914
Ville, Husso, 8478024
Rasmus, Ristolainen, 8477499
Ivan, Fedotov, 8478905
Kaapo, Kakko, 8481554
Jani, Nyman, 8483497
Eeli, Tolvanen, 8480009
Ukko-Pekka, Luukkonen, 8480045
Justus, Annunen, 8481020
Juuse, Saros, 8477424
Teuvo, Teravainen, 8476882