WPG, C, Mason, Appleton, 8478891, USA
WPG, C, Morgan, Barron, 8480289, CAN
WPG, L, Kyle, Connor, 8478398, USA
WPG, L, Nikolaj, Ehlers, 8477940, DNK
WPG, C, David, Gustafsson, 8481019, SWE
WPG, L, Alex, Iafallo, 8480113, USA
WPG, C, Rasmus, Kupari, 8480845, FIN
WPG, C, Adam, Lowry, 8476392, USA
WPG, C, Vladislav, Namestnikov, 8476480, RUS
WPG, R, Nino, Niederreiter, 8475799, CHE
WPG, C, Cole, Perfetti, 8482149, CAN
WPG, C, Mark, Scheifele, 8476460, CAN
WPG, L, Brandon, Tanev, 8479293, CAN
WPG, C, Gabriel, Vilardi, 8480014, CAN
WPG, D, Dylan, DeMelo, 8476331, CAN
WPG, D, Haydn, Fleury, 8477938, CAN
WPG, D, Ville, Heinola, 8481572, FIN
WPG, D, Colin, Miller, 8476525, CAN
WPG, D, Josh, Morrissey, 8477504, CAN
WPG, D, Neal, Pionk, 8480145, USA
WPG, D, Dylan, Samberg, 8480049, USA
WPG, D, Luke, Schenn, 8474568, CAN
WPG, D, Logan, Stanley, 8479378, CAN
WPG, G, Eric, Comrie, 8477480, CAN
WPG, G, Connor, Hellebuyck, 8476945, USA
WSH, C, Nicklas, Backstrom, 8473563, SWE
WSH, L, Anthony, Beauvillier, 8478463, CAN
WSH, C, Nic, Dowd, 8475343, USA
WSH, L, Pierre-Luc, Dubois, 8479400, CAN
WSH, R, Brandon, Duhaime, 8479520, USA
WSH, C, Lars, Eller, 8474189, DNK
WSH, C, Ethen, Frank, 8483573, USA
WSH, L, Andrew, Mangiapane, 8478233, CAN
WSH, C, Connor, McMichael, 8481580, CAN
WSH, L, Sonny, Milano, 8477947, USA
WSH, R, T.J., Oshie, 8471698, USA
WSH, L, Alex, Ovechkin, 8471214, RUS
WSH, C, Aliaksei, Protas, 8481656, BLR
WSH, R, Taylor, Raddysh, 8479390, CAN
WSH, C, Dylan, Strome, 8478440, CAN
WSH, R, Tom, Wilson, 8476880, CAN
WSH, D, Alexander, Alexeyev, 8480823, RUS
WSH, D, John, Carlson, 8474590, USA
WSH, D, Jakob, Chychrun, 8479345, USA
WSH, D, Martin, Fehérváry, 8480796, SVK
WSH, D, Dylan, McIlrath, 8475795, CAN
WSH, D, Matt, Roy, 8478911, USA
WSH, D, Rasmus, Sandin, 8480873, SWE
WSH, D, Trevor, van Riemsdyk, 8477845, USA
WSH, G, Charlie, Lindgren, 8479292, USA
WSH, G, Logan, Thompson, 8480313, CAN
DAL, L, Jamie, Benn, 8473994, CAN
DAL, C, Colin, Blackwell, 8476278, USA
DAL, C, Mavrik, Bourque, 8482145, CAN
DAL, C, Oskar, Bäck, 8480840, SWE
DAL, R, Evgenii, Dadonov, 8474149, RUS
DAL, C, Matt, Duchene, 8475168, CAN
DAL, C, Mikael, Granlund, 8475798, FIN
DAL, C, Roope, Hintz, 8478449, FIN
DAL, C, Wyatt, Johnston, 8482740, CAN
DAL, L, Mason, Marchment, 8478975, CAN
DAL, R, Mikko, Rantanen, 8478420, FIN
DAL, L, Jason, Robertson, 8480027, USA
DAL, C, Tyler, Seguin, 8475794, CAN
DAL, C, Sam, Steel, 8479351, CAN
DAL, D, Lian, Bichsel, 8483425, CHE
DAL, D, Cody, Ceci, 8476879, CAN
DAL, D, Mathew, Dumba, 8476856, CAN
DAL, D, Thomas, Harley, 8481581, USA
DAL, D, Miro, Heiskanen, 8480036, FIN
DAL, D, Esa, Lindell, 8476902, FIN
DAL, D, Nils, Lundkvist, 8480878, SWE
DAL, D, Ilya, Lyubushkin, 8480950, RUS
DAL, D, Brendan, Smith, 8474090, CAN
DAL, G, Casey, DeSmith, 8479193, USA
DAL, G, Jake, Oettinger, 8479979, USA
VGK, C, Ivan, Barbashev, 8477964, RUS
VGK, L, Pavel, Dorofeyev, 8481604, RUS
VGK, C, Jack, Eichel, 8478403, USA
VGK, C, Tomas, Hertl, 8476881, CZE
VGK, C, Brett, Howden, 8479353, CAN
VGK, C, William, Karlsson, 8476448, SWE
VGK, R, Keegan, Kolesar, 8478434, CAN
VGK, R, Victor, Olofsson, 8478109, SWE
VGK, L, Tanner, Pearson, 8476871, CAN
VGK, C, Nicolas, Roy, 8478462, CAN
VGK, L, Brandon, Saad, 8476438, USA
VGK, R, Cole, Schwindt, 8481655, CAN
VGK, R, Reilly, Smith, 8475191, CAN
VGK, R, Mark, Stone, 8475913, CAN
VGK, D, Nicolas, Hague, 8479980, CAN
VGK, D, Noah, Hanifin, 8478396, USA
VGK, D, Ben, Hutton, 8477018, CAN
VGK, D, Kaedan, Korczak, 8481527, CAN
VGK, D, Brayden, McNabb, 8475188, CAN
VGK, D, Alex, Pietrangelo, 8474565, CAN
VGK, D, Shea, Theodore, 8477447, CAN
VGK, D, Zach, Whitecloud, 8480727, CAN
VGK, G, Adin, Hill, 8478499, CAN
VGK, G, Ilya, Samsonov, 8478492, RUS
COL, C, Ross, Colton, 8479525, USA
COL, C, Charlie, Coyle, 8475745, USA
COL, L, Jonathan, Drouin, 8477494, CAN
COL, C, Jack, Drury, 8480835, USA
COL, C, Parker, Kelly, 8480448, CAN
COL, L, Joel, Kiviranta, 8481641, FIN
COL, L, Artturi, Lehkonen, 8477476, FIN
COL, C, Nathan, MacKinnon, 8477492, CAN
COL, C, Martin, Necas, 8480039, CZE
COL, C, Brock, Nelson, 8475754, USA
COL, R, Valeri, Nichushkin, 8477501, RUS
COL, R, Logan, O'Connor, 8481186, USA
COL, L, Jimmy, Vesey, 8476918, USA
COL, L, Miles, Wood, 8477425, USA
COL, D, Samuel, Girard, 8479398, CAN
COL, D, Erik, Johnson, 8473446, USA
COL, D, Ryan, Lindgren, 8479324, USA
COL, D, Cale, Makar, 8480069, CAN
COL, D, Sam, Malinski, 8484258, USA
COL, D, Josh, Manson, 8476312, USA
COL, D, Keaton, Middleton, 8479387, CAN
COL, D, Devon, Toews, 8478038, CAN
COL, G, Mackenzie, Blackwood, 8478406, CAN
COL, G, Scott, Wedgewood, 8475809, CAN
CAR, C, Sebastian, Aho, 8478427, FIN
CAR, R, Jackson, Blake, 8482809, USA
CAR, L, William, Carrier, 8477478, CAN
CAR, L, Taylor, Hall, 8475791, CAN
CAR, C, Mark, Jankowski, 8476873, CAN
CAR, C, Seth, Jarvis, 8482093, CAN
CAR, C, Tyson, Jost, 8479370, CAN
CAR, C, Jesperi, Kotkaniemi, 8480829, FIN
CAR, L, Jordan, Martinook, 8476921, CAN
CAR, L, Eric, Robinson, 8480762, USA
CAR, C, Jack, Roslovic, 8478458, USA
CAR, C, Jordan, Staal, 8473533, CAN
CAR, C, Logan, Stankoven, 8482702, CAN
CAR, R, Andrei, Svechnikov, 8480830, RUS
CAR, D, Brent, Burns, 8470613, CAN
CAR, D, Jalen, Chatfield, 8478970, USA
CAR, D, Shayne, Gostisbehere, 8476906, USA
CAR, D, Scott, Morrow, 8482666, USA
CAR, D, Dmitry, Orlov, 8475200, RUS
CAR, D, Jaccob, Slavin, 8476958, USA
CAR, D, Riley, Stillman, 8479388, CAN
CAR, D, Sean, Walker, 8480336, CAN
CAR, G, Frederik, Andersen, 8475883, DNK
CAR, G, Pyotr, Kochetkov, 8481611, RUS
TOR, C, Max, Domi, 8477503, CAN
TOR, R, Pontus, Holmberg, 8480995, SWE
TOR, C, Calle, Jarnkrok, 8475714, SWE
TOR, C, David, Kampf, 8480144, CZE
TOR, L, Matthew, Knies, 8482720, USA
TOR, L, Scott, Laughton, 8476872, CAN
TOR, C, Steven, Lorentz, 8478904, CAN
TOR, R, Mitch, Marner, 8478483, CAN
TOR, C, Auston, Matthews, 8479318, USA
TOR, C, Bobby, McMann, 8482259, CAN
TOR, R, William, Nylander, 8477939, CAN
TOR, L, Max, Pacioretty, 8474157, USA
TOR, L, Nicholas, Robertson, 8481582, USA
TOR, C, John, Tavares, 8475166, CAN
TOR, D, Simon, Benoit, 8481122, CAN
TOR, D, Brandon, Carlo, 8478443, USA
TOR, D, Oliver, Ekman-Larsson, 8475171, SWE
TOR, D, Jani, Hakanpää, 8475825, FIN
TOR, D, Jake, McCabe, 8476931, USA
TOR, D, Philippe, Myers, 8479026, CAN
TOR, D, Morgan, Rielly, 8476853, CAN
TOR, D, Chris, Tanev, 8475690, CAN
TOR, G, Anthony, Stolarz, 8476932, USA
TOR, G, Joseph, Woll, 8479361, USA
FLA, C, Aleksander, Barkov, 8477493, FIN
FLA, C, Sam, Bennett, 8477935, CAN
FLA, C, Jesper, Boqvist, 8480003, SWE
FLA, L, Jonah, Gadjovich, 8479981, CAN
FLA, L, A.J., Greer, 8478421, CAN
FLA, C, Anton, Lundell, 8482113, FIN
FLA, C, Eetu, Luostarinen, 8480185, FIN
FLA, C, Brad, Marchand, 8473419, CAN
FLA, L, Tomas, Nosek, 8477931, CZE
FLA, C, Sam, Reinhart, 8477933, CAN
FLA, C, Evan, Rodrigues, 8478542, CAN
FLA, R, Mackie, Samoskevich, 8482713, USA
FLA, C, Nico, Sturm, 8481477, DEU
FLA, L, Matthew, Tkachuk, 8479314, USA
FLA, C, Carter, Verhaeghe, 8477409, CAN
FLA, D, Uvis, Balinskis, 8484304, LVA
FLA, D, Gustav, Forsling, 8478055, SWE
FLA, D, Seth, Jones, 8477495, USA
FLA, D, Dmitry, Kulikov, 8475179, RUS
FLA, D, Niko, Mikkola, 8478859, FIN
FLA, D, Nate, Schmidt, 8477220, USA
FLA, G, Sergei, Bobrovsky, 8475683, RUS
FLA, G, Vitek, Vanecek, 8477970, CZE
TBL, R, Cam, Atkinson, 8474715, USA
TBL, R, Oliver, Bjorkstrand, 8477416, DNK
TBL, R, Mitchell, Chaffee, 8482070, USA
TBL, C, Anthony, Cirelli, 8478519, CAN
TBL, C, Zemgus, Girgensons, 8476878, LVA
TBL, C, Luke, Glendening, 8476822, USA
TBL, C, Gage, Goncalves, 8482201, CAN
TBL, C, Yanni, Gourde, 8476826, CAN
TBL, C, Jake, Guentzel, 8477404, USA
TBL, L, Brandon, Hagel, 8479542, CAN
TBL, R, Nikita, Kucherov, 8476453, RUS
TBL, L, Nick, Paul, 8477426, CAN
TBL, C, Brayden, Point, 8478010, CAN
TBL, D, Erik, Cernak, 8478416, SVK
TBL, D, Victor, Hedman, 8475167, SWE
TBL, D, Emil, Lilleberg, 8482929, NOR
TBL, D, Ryan, McDonagh, 8474151, USA
TBL, D, J.J., Moser, 8482655, CHE
TBL, D, Nick, Perbix, 8480246, USA
TBL, D, Darren, Raddysh, 8478178, CAN
TBL, G, Jonas, Johansson, 8477992, SWE
TBL, G, Andrei, Vasilevskiy, 8476883, RUS
LAK, R, Quinton, Byfield, 8482124, CAN
LAK, C, Phillip, Danault, 8476479, CAN
LAK, L, Kevin, Fiala, 8477942, CHE
LAK, L, Warren, Foegele, 8477998, CAN
LAK, C, Samuel, Helenius, 8482726, USA
LAK, L, Tanner, Jeannot, 8479661, CAN
LAK, R, Adrian, Kempe, 8477960, SWE
LAK, C, Anze, Kopitar, 8471685, SVN
LAK, L, Andrei, Kuzmenko, 8483808, RUS
LAK, R, Alex, Laferriere, 8482155, USA
LAK, C, Trevor, Lewis, 8473453, USA
LAK, L, Jeff, Malott, 8482408, CAN
LAK, L, Trevor, Moore, 8479675, USA
LAK, C, Akil, Thomas, 8480851, CAN
LAK, C, Alex, Turcotte, 8481532, USA
LAK, D, Mikey, Anderson, 8479998, USA
LAK, D, Kyle, Burroughs, 8477335, CAN
LAK, D, Brandt, Clarke, 8482730, CAN
LAK, D, Drew, Doughty, 8474563, CAN
LAK, D, Joel, Edmundson, 8476441, CAN
LAK, D, Vladislav, Gavrikov, 8478882, RUS
LAK, D, Jacob, Moverare, 8479421, SWE
LAK, D, Jordan, Spence, 8481606, AUS
LAK, G, Darcy, Kuemper, 8475311, CAN
LAK, G, David, Rittich, 8479496, CZE
EDM, L, Viktor, Arvidsson, 8478042, SWE
EDM, R, Connor, Brown, 8477015, CAN
EDM, C, Leon, Draisaitl, 8477934, DEU
EDM, C, Trent, Frederic, 8479365, USA
EDM, C, Adam, Henrique, 8474641, CAN
EDM, L, Zach, Hyman, 8475786, CAN
EDM, C, Mattias, Janmark, 8477406, SWE
EDM, L, Max, Jones, 8479368, USA
EDM, R, Kasperi, Kapanen, 8477953, FIN
EDM, C, Connor, McDavid, 8478402, CAN
EDM, C, Ryan, Nugent-Hopkins, 8476454, CAN
EDM, R, Corey, Perry, 8470621, CAN
EDM, R, Vasily, Podkolzin, 8481617, RUS
EDM, C, Jeff, Skinner, 8475784, CAN
EDM, D, Evan, Bouchard, 8480803, CAN
EDM, D, Mattias, Ekholm, 8475218, SWE
EDM, D, Ty, Emberson, 8480834, USA
EDM, D, John, Klingberg, 8475906, SWE
EDM, D, Brett, Kulak, 8476967, CAN
EDM, D, Darnell, Nurse, 8477498, CAN
EDM, D, Troy, Stecher, 8479442, CAN
EDM, D, Jake, Walman, 8478013, CAN
EDM, G, Calvin, Pickard, 8475717, CAN
EDM, G, Olivier, Rodrigue, 8480885, CAN
EDM, G, Stuart, Skinner, 8479973, CAN
MIN, L, Matt, Boldy, 8481557, USA
MIN, R, Justin, Brazeau, 8479638, CAN
MIN, C, Joel, Eriksson Ek, 8478493, SWE
MIN, L, Marcus, Foligno, 8475220, USA
MIN, C, Frederick, Gaudreau, 8477919, CAN
MIN, C, Brendan, Gaunce, 8476867, CAN
MIN, R, Ryan, Hartman, 8477451, USA
MIN, C, Vinnie, Hinostroza, 8476994, USA
MIN, L, Marcus, Johansson, 8475149, SWE
MIN, L, Kirill, Kaprizov, 8478864, RUS
MIN, C, Gustav, Nyquist, 8474679, SWE
MIN, C, Marco, Rossi, 8482079, AUT
MIN, C, Devin, Shore, 8476913, CAN
MIN, C, Yakov, Trenin, 8478508, RUS
MIN, R, Mats, Zuccarello, 8475692, NOR
MIN, D, Zach, Bogosian, 8474567, USA
MIN, D, Jonas, Brodin, 8476463, SWE
MIN, D, Declan, Chisholm, 8480990, CAN
MIN, D, Brock, Faber, 8482122, USA
MIN, D, Jon, Merrill, 8475750, USA
MIN, D, Jake, Middleton, 8478136, CAN
MIN, D, Jared, Spurgeon, 8474716, CAN
MIN, G, Marc-Andre, Fleury, 8470594, CAN
MIN, G, Filip, Gustavsson, 8479406, SWE
STL, C, Zack, Bolduc, 8482737, CAN
STL, L, Pavel, Buchnevich, 8477402, RUS
STL, C, Dalibor, Dvorsky, 8484164, SVK
STL, C, Radek, Faksa, 8476889, CZE
STL, C, Dylan, Holloway, 8482077, CAN
STL, R, Mathieu, Joseph, 8478472, CAN
STL, C, Jordan, Kyrou, 8479385, CAN
STL, L, Jake, Neighbours, 8482089, CAN
STL, C, Brayden, Schenn, 8475170, CAN
STL, R, Jimmy, Snuggerud, 8483516, USA
STL, C, Oskar, Sundqvist, 8476897, SWE
STL, C, Alexandre, Texier, 8480074, FRA
STL, C, Robert, Thomas, 8480023, CAN
STL, R, Alexey, Toropchenko, 8480281, RUS
STL, L, Nathan, Walker, 8477573, GBR
STL, D, Philip, Broberg, 8481598, SWE
STL, D, Justin, Faulk, 8475753, USA
STL, D, Cam, Fowler, 8475764, CAN
STL, D, Matthew, Kessel, 8482516, USA
STL, D, Nick, Leddy, 8475181, USA
STL, D, Colton, Parayko, 8476892, CAN
STL, D, Ryan, Suter, 8470600, USA
STL, D, Tyler, Tucker, 8481006, CAN
STL, G, Jordan, Binnington, 8476412, CAN
STL, G, Joel, Hofer, 8480981, CAN
NJD, R, Nathan, Bastian, 8479414, CAN
NJD, L, Jesper, Bratt, 8479407, SWE
NJD, C, Paul, Cotter, 8481032, USA
NJD, C, Justin, Dowling, 8475413, CAN
NJD, L, Nolan, Foote, 8481518, USA
NJD, C, Cody, Glass, 8479996, CAN
NJD, L, Erik, Haula, 8475287, FIN
NJD, C, Nico, Hischier, 8480002, CHE
NJD, C, Jack, Hughes, 8481559, USA
NJD, C, Curtis, Lazar, 8477508, CAN
NJD, L, Kurtis, MacDermid, 8477073, CAN
NJD, R, Timo, Meier, 8478414, CHE
NJD, C, Dawson, Mercer, 8482110, CAN
NJD, R, Stefan, Noesen, 8476474, USA
NJD, L, Ondrej, Palat, 8476292, CZE
NJD, R, Daniel, Sprong, 8478466, NLD
NJD, L, Tomas, Tatar, 8475193, SVK
NJD, D, Dennis, Cholowski, 8479395, CAN
NJD, D, Brenden, Dillon, 8475455, CAN
NJD, D, Brian, Dumoulin, 8475208, USA
NJD, D, Dougie, Hamilton, 8476462, CAN
NJD, D, Luke, Hughes, 8482684, USA
NJD, D, Johnathan, Kovacevic, 8480192, CAN
NJD, D, Simon, Nemec, 8483495, SVK
NJD, D, Brett, Pesce, 8477488, USA
NJD, D, Jonas, Siegenthaler, 8478399, CHE
NJD, G, Jake, Allen, 8474596, CAN
NJD, G, Jacob, Markstrom, 8474593, SWE
OTT, R, Michael, Amadio, 8478020, CAN
OTT, R, Drake, Batherson, 8480208, USA
OTT, C, Nick, Cousins, 8476393, CAN
OTT, C, Dylan, Cozens, 8481528, CAN
OTT, L, Angus, Crookshank, 8481065, CAN
OTT, R, Adam, Gaudette, 8478874, USA
OTT, R, Claude, Giroux, 8473512, CAN
OTT, C, Ridly, Greig, 8482092, CAN
OTT, C, Matthew, Highmore, 8478146, CAN
OTT, L, David, Perron, 8474102, CAN
OTT, C, Shane, Pinto, 8481596, USA
OTT, C, Tim, Stützle, 8482116, DEU
OTT, L, Brady, Tkachuk, 8480801, USA
OTT, L, Fabian, Zetterlund, 8480188, SWE
OTT, D, Thomas, Chabot, 8478469, CAN
OTT, D, Dennis, Gilbert, 8478502, USA
OTT, D, Travis, Hamonic, 8474612, CAN
OTT, D, Nick, Jensen, 8475324, USA
OTT, D, Tyler, Kleven, 8482095, USA
OTT, D, Nikolas, Matinpalo, 8484321, FIN
OTT, D, Jake, Sanderson, 8482105, USA
OTT, D, Artem, Zub, 8482245, RUS
OTT, G, Anton, Forsberg, 8476341, SWE
OTT, G, Linus, Ullmark, 8476999, SWE
VAN, C, Nils, Aman, 8482496, SWE
VAN, C, Teddy, Blueger, 8476927, LVA
VAN, R, Brock, Boeser, 8478444, USA
VAN, C, Filip, Chytil, 8480078, CZE
VAN, L, Jake, DeBrusk, 8478498, CAN
VAN, R, Conor, Garland, 8478856, USA
VAN, L, Nils, Hoglander, 8481535, SWE
VAN, C, Dakota, Joshua, 8478057, USA
VAN, C, Linus, Karlsson, 8481024, SWE
VAN, R, Jonathan, Lekkerimäki, 8483476, SWE
VAN, L, Drew, O'Connor, 8482055, USA
VAN, C, Elias, Pettersson, 8480012, SWE
VAN, C, Aatu, Raty, 8482691, FIN
VAN, C, Max, Sasson, 8484136, USA
VAN, L, Kiefer, Sherwood, 8480748, USA
VAN, C, Pius, Suter, 8480459, CHE
VAN, D, Derek, Forbort, 8475762, USA
VAN, D, Filip, Hronek, 8479425, CZE
VAN, D, Quinn, Hughes, 8480800, USA
VAN, D, Noah, Juulsen, 8478454, CAN
VAN, D, Victor, Mancini, 8483768, USA
VAN, D, Tyler, Myers, 8474574, USA
VAN, D, Elias, Pettersson, 8483678, SWE
VAN, D, Marcus, Pettersson, 8477969, SWE
VAN, G, Thatcher, Demko, 8477967, USA
VAN, G, Kevin, Lankinen, 8480947, FIN
CGY, C, Mikael, Backlund, 8474150, SWE
CGY, L, Blake, Coleman, 8476399, USA
CGY, R, Matt, Coronato, 8482679, USA
CGY, L, Joel, Farabee, 8480797, USA
